lsoa_code,borough,major_category,minor_category,value,year,month
E01000619,Brent,Sexual Offences,Rape,0,2015,2
E01000294,Barnet,Sexual Offences,Rape,0,2015,12
E01000294,Barnet,Sexual Offences,Rape,0,2015,5
E01001331,Ealing,Sexual Offences,Rape,0,2015,6
E01001295,Ealing,Sexual Offences,Rape,0,2015,6
E01001309,Ealing,Sexual Offences,Rape,0,2015,6
E01000562,Brent,Sexual Offences,Rape,0,2015,1
E01000472,Brent,Sexual Offences,Rape,0,2015,3
E01000384,Bexley,Sexual Offences,Rape,0,2015,5
E01000644,Brent,Sexual Offences,Rape,0,2015,12
E01000591,Brent,Sexual Offences,Rape,0,2015,9
E01000644,Brent,Sexual Offences,Rape,0,2015,6
E01000550,Brent,Sexual Offences,Rape,0,2015,11
E01000848,Camden,Sexual Offences,Rape,0,2015,9
E01000619,Brent,Sexual Offences,Rape,0,2015,12
E01000526,Brent,Sexual Offences,Rape,0,2015,9
E01000472,Brent,Sexual Offences,Rape,0,2015,1
E01000570,Brent,Sexual Offences,Rape,0,2015,12
E01000294,Barnet,Sexual Offences,Rape,0,2015,1
E01000848,Camden,Sexual Offences,Rape,0,2015,10
E01002219,Harrow,Sexual Offences,Rape,0,2015,2
E01003386,Merton,Sexual Offences,Rape,0,2015,1
E01003431,Merton,Sexual Offences,Rape,0,2015,1
E01003407,Merton,Sexual Offences,Rape,0,2015,4
E01002110,Harrow,Sexual Offences,Rape,0,2015,4
E01003631,Newham,Sexual Offences,Rape,0,2015,10
E01000591,Brent,Sexual Offences,Rape,0,2015,3
E01000471,Brent,Sexual Offences,Rape,0,2015,10
E01000591,Brent,Sexual Offences,Rape,0,2015,12
E01000156,Barnet,Sexual Offences,Rape,0,2015,7
E01001273,Ealing,Sexual Offences,Rape,0,2015,7
E01002219,Harrow,Sexual Offences,Rape,0,2015,5
E01003633,Newham,Sexual Offences,Rape,0,2015,6
E01003527,Newham,Sexual Offences,Rape,0,2015,12
E01002110,Harrow,Sexual Offences,Rape,0,2015,11
E01002107,Harrow,Sexual Offences,Rape,0,2015,2
